x,y,z
-1.089768234058443724e-01,8.084052734347436583e-03,9.090821104265678354e-01
-1.092640695159704384e-01,7.988797751975282996e-03,9.023319851181386131e-01
-1.095453790421040130e-01,7.897702129162470150e-03,8.955843914036717424e-01
-1.098188538376130285e-01,7.811494167572150156e-03,8.888403569970366735e-01
-1.100838146280719160e-01,7.730693360364065264e-03,8.821003092773309628e-01
-1.103404452687170301e-01,7.655611852990108768e-03,8.753642565943038356e-01
-1.105895071135952201e-01,7.586344188878112876e-03,8.686319351242501874e-01
-1.108325221191547166e-01,7.524379351997905092e-03,8.619027824376556124e-01
-1.110711683510889614e-01,7.473142987923167210e-03,8.551761251158577215e-01
-1.113066275677782047e-01,7.432043176196803831e-03,8.484514955691024873e-01
-1.115398011601981820e-01,7.399451249713012019e-03,8.417285667923399828e-01
-1.117714395964949092e-01,7.374484300933977984e-03,8.350070821830397616e-01
-1.120021342487518556e-01,7.356812313565495517e-03,8.282868466451503986e-01
-1.122323190797526182e-01,7.346347646029295630e-03,8.215677266950980329e-01
-1.124622827968229377e-01,7.343053131402570675e-03,8.148496466633330382e-01
-1.134533834656481083e-01,7.339149324469765832e-03,8.127597198759659580e-01
-1.152822824326940887e-01,7.340236486314541571e-03,8.166697865744022566e-01
-1.173016417183476989e-01,7.364124100268929982e-03,8.220304767028195903e-01
-1.191251915565289393e-01,7.404050410857871724e-03,8.277798153553038718e-01
-1.206835311740993844e-01,7.446535940461948555e-03,8.337035134877908149e-01
-1.219795461571816231e-01,7.508217487945080364e-03,8.397540409167286724e-01
-1.230335381314880405e-01,7.589311715578852743e-03,8.459148699666485527e-01
-1.238766110629934691e-01,7.691996535707655742e-03,8.521715664033570059e-01
-1.245437416466842195e-01,7.810479612092829926e-03,8.585086774297818746e-01
-1.250697694640356405e-01,7.939494719387088159e-03,8.649105864690201928e-01
-1.254870817852609122e-01,8.074727844287955814e-03,8.713625403354825494e-01
-1.258243151391310044e-01,8.212920354597785452e-03,8.778513316293675706e-01
-1.261057573674936039e-01,8.351896254018153012e-03,8.843656454170359948e-01
-1.263512266931416383e-01,8.490513647463917429e-03,8.908961629531149118e-01
-1.265762687215538362e-01,8.628558962629035226e-03,8.974355042103123736e-01
-1.267925533887462319e-01,8.766603447946887465e-03,9.039780703648798710e-01
-1.270083819684400817e-01,8.905792632296330794e-03,9.105198300298058545e-01
-1.272292061986102785e-01,9.046621244414536703e-03,9.170580826641844263e-01
-1.274581347715044721e-01,9.188194484421631503e-03,9.235912407678621427e-01
-1.276964454671246085e-01,9.328980899903614038e-03,9.301186306605458975e-01
-1.279440490215303927e-01,9.467024269041614606e-03,9.366402934143523984e-01
-1.281998949091689710e-01,9.600085303613552223e-03,9.431568015348328338e-01
-1.284623228535667350e-01,9.725838308721200184e-03,9.496690937855057912e-01
-1.287293590998299653e-01,9.842103455796486974e-03,9.561783283516526177e-01
-1.289989557851899948e-01,9.947082806625507159e-03,9.626857551930019241e-01
-1.292691738715573968e-01,1.003956125661351409e-02,9.691926085937414559e-01
-1.295383113201422354e-01,1.011903405603449893e-02,9.757000217648386098e-01
-1.298049797804282091e-01,1.018573396771909299e-02,9.822089657123151962e-01
-1.300681355672709538e-01,1.024055226136972273e-02,9.887202136117471118e-01
-1.303270736004966124e-01,1.028487239068761640e-02,9.952343295813592672e-01
